future_break_up,future_break_down,pullback_pips,pullback_pct_of_range
1,0,12395899.999999965,39.88179501698739
1,0,12906699.999999983,141.50221462088376
1,0,12906699.999999983,150.8109181837314
1,1,15632099.999999918,182.65639971022011
1,0,14074700.000000011,112.44018374276024
1,0,14074700.000000011,132.9708638802818
1,0,12131800.000000076,131.19998269671854
1,0,9128500.000000058,64.85751028441139
1,0,11091700.000000129,78.80594257781779
1,0,16628500.000000058,137.06539837451948
1,0,14156100.000000006,137.75349344128307
1,0,8793099.999999978,79.27639586357255
1,0,8793099.999999978,52.87969450040562
1,0,11438900.00000014,114.36269657978852
1,0,10781399.999999994,158.5989790964871
1,0,11169299.99999993,150.783665204184
1,1,13744499.99999997,108.71491058080889
1,0,22497699.999999896,132.71961442485141
1,0,22072899.999999937,146.23431516741505
1,0,19725399.999999937,118.54634181520913
1,0,9891499.999999942,38.674778406402616
1,0,9175800.000000017,41.57043252132725
1,0,14546199.999999953,73.74349823070762
1,0,12509700.000000011,126.46919071930532
1,0,8558800.000000047,88.60316572978495
1,0,10309199.999999983,65.39959653374277
1,1,14231799.99999993,164.68750361618615
1,1,16000299.999999989,157.19703296163604
1,1,16000299.999999989,157.19703296163604
1,0,10060000.0,70.35998293455641
1,1,10060000.0,113.06800939610946
1,0,9358800.000000047,102.47123101685156
1,0,4154399.999999878,105.84997961679376
1,0,3186299.9999999013,103.10315816722648
1,1,5894299.99999993,216.37605080577694
1,0,8442900.000000082,180.11135762437442
1,0,8442900.000000082,201.8142703478011
1,0,7843400.000000111,241.54348361665689
1,0,5646699.999999982,152.34176873684586
1,0,10492900.000000082,283.0869260238489
1,0,10492900.000000082,304.78694048275935
1,0,15569600.000000063,235.99599842362053
1,0,14121100.000000006,134.57766680326597
1,1,18140800.00000002,172.88642796557554
1,1,17953600.000000007,391.9572099115794
1,0,7308999.999999942,104.85317113058758
1,0,6484400.000000023,64.26242505326798
1,0,5542700.000000041,74.48163726030415
1,0,8136699.999999982,73.49362766793374
1,0,12898200.00000007,149.57036006261941
1,0,10823899.999999994,166.92215162543883
1,0,8286499.999999942,101.8410412083518
1,0,9569599.999999918,74.19329828968279
1,0,12943199.999999924,100.34888589105341
1,1,21176199.999999955,165.06508691246435
1,0,9703899.999999994,57.08176470588232
1,0,7274400.000000023,74.96367439895329
1,0,7274400.000000023,80.10571522960129
1,0,5745299.999999989,63.267261314833654
1,0,4664199.999999982,81.18287991923819
1,0,16313200.00000007,321.5500758874897
1,0,15139300.000000076,353.0538000512965
1,0,12706900.000000022,272.4347154924761
1,1,25832099.999999918,170.62942143956317
1,0,17572299.99999996,112.37497761747592
1,0,14984700.000000011,125.86156210890671
1,0,4806399.999999994,69.8432073470219
1,0,4616499.999999942,113.00824949205652
1,0,4616499.999999942,119.15393351228356
1,0,4485599.999999977,93.3255659121168
1,0,2626600.000000035,56.895916820103274
1,0,8066699.999999982,174.73627206758547
