feature,target,pearson_r,pearson_p,spearman_r,spearman_p,n,abs_spearman
C7_direction,C5_return,-0.05399886155963363,0.0018405214695999409,-0.056034963582811785,0.0012272995784414857,3325,0.056034963582811785
H4_1_volume,C6_high_excursion,-0.014470739994089977,0.40419449125295526,-0.05585307873694433,0.0012732144973961398,3325,0.05585307873694433
all_bullish,C7_high_excursion,-0.035942830707941284,0.03822302461073939,-0.05576091382030896,0.0012970808584098694,3325,0.05576091382030896
H4_2_return,C7_high_excursion,-0.01091285055463826,0.5293177741603894,-0.05557987387415198,0.0013451675048673898,3325,0.05557987387415198
C1_lower_wick,C6_high_excursion,-0.05020563747157016,0.0037827061035973684,-0.05552175797114302,0.0013609490402530751,3325,0.05552175797114302
H4_1_high,C7_high_excursion,-0.05027315681026508,0.00373597225796317,-0.055363696080900554,0.0014047387323818448,3325,0.055363696080900554
C7_range,C5_high_excursion,0.0405727624735021,0.01930320048113986,0.05535393987650606,0.0014074836990498837,3325,0.05535393987650606
C6_direction,C5_return,-0.05604202396868731,0.0012255484669993686,-0.055002579690019676,0.0015096984716156151,3325,0.055002579690019676
C4_trades,C7_high_excursion,-0.033207351543402805,0.055538770909597114,-0.054992953772868634,0.001512592612514354,3325,0.054992953772868634
C3_high,C7_high_excursion,-0.04925383132184136,0.004500465684401425,-0.05498334127243729,0.0015154878166722093,3325,0.05498334127243729
window_low,C7_low_excursion,-0.06247262929911753,0.00031273748335738694,-0.05483644216561506,0.0015603721144264659,3325,0.05483644216561506
C4_return,C6_return,-0.03151696783656888,0.0691979640560339,-0.05478466903748659,0.0015764805375244218,3325,0.05478466903748659
H4_2_close_location,C6_high_excursion,-0.004263471671530394,0.8058738692996562,-0.05456763880303795,0.0016456853865745272,3325,0.05456763880303795
C3_C4_return,C5_return,-0.03175895227714022,0.06708803416283594,-0.05433583843578314,0.0017226776872687362,3325,0.05433583843578314
C2_upper_wick,C7_high_excursion,-0.04844598344244405,0.005204085333907882,-0.05415031804516044,0.001786668644382762,3325,0.05415031804516044
H4_2_return,C5_high_excursion,-0.006170754089167527,0.7220707620443992,-0.053886688725212344,0.0018813628803273183,3325,0.053886688725212344
C4_open,C7_high_excursion,-0.04772961765477142,0.005909555738544077,-0.05388353483633284,0.0018825231255822732,3325,0.05388353483633284
H4_2_range,C7_low_excursion,0.07917733968919505,4.8528923208391156e-06,0.05374288831765931,0.0019349366243384082,3325,0.05374288831765931
C2_high,C7_high_excursion,-0.04902535503863321,0.004690170804378902,-0.05371731680634084,0.0019446088130789078,3325,0.05371731680634084
C4_break_C3_low,C6_high_excursion,0.012285863842184162,0.4788224203014921,0.053631163018681684,0.001977523183818747,3325,0.053631163018681684
C7_direction,C5_low_excursion,-0.053048475891387434,0.0022138964206761713,-0.05357866547873903,0.001997829282654773,3325,0.05357866547873903
C4_low,C7_high_excursion,-0.0461645700029596,0.007758620207686537,-0.053544256742718954,0.0020112422013197173,3325,0.053544256742718954
C5_range,C6_low_excursion,-0.08814175743520229,3.571198948339281e-07,-0.05352755083483475,0.002017784098716159,3325,0.05352755083483475
all_bullish,C7_return,-0.03475171867869559,0.045098606921500195,-0.05349658458224112,0.002029961875605656,3325,0.05349658458224112
C3_close,C7_high_excursion,-0.047670347206410585,0.005971618002889005,-0.05341917030744225,0.002060701267585247,3325,0.05341917030744225
C4_volume_ratio,C5_high_excursion,-0.002623148116220387,0.8798167784684426,0.053332737619503974,0.0020955255889242618,3325,0.053332737619503974
C1_high,C7_high_excursion,-0.04875753800665259,0.004921733683578439,-0.053218010501044875,0.002142583363882879,3325,0.053218010501044875
H4_2_low,C7_low_excursion,-0.0607580881556994,0.00045591555860718496,-0.05321161269391612,0.0021452358546566286,3325,0.05321161269391612
range_trend,C5_low_excursion,-0.025764141464582165,0.13745886317448305,-0.05321099968353783,0.0021454901628454336,3325,0.05321099968353783
C1_upper_wick,C7_high_excursion,-0.039029654260346755,0.024412727183043326,-0.05310529325557704,0.002189758062085447,3325,0.05310529325557704
H4_1_body_ratio,C5_low_excursion,0.03468169981159561,0.0455333204900361,0.05272812795773077,0.002354614438220592,3325,0.05272812795773077
C4_low,C7_low_excursion,-0.05970698558327113,0.0005717961800015831,-0.052346717577932245,0.0025328077506880887,3325,0.052346717577932245
C3_volume,C7_high_excursion,-0.014197168775388416,0.41313903173903577,-0.052332782015436584,0.0025395459415241627,3325,0.052332782015436584
H4_1_range,C7_return,0.009407834980383459,0.5876185693172575,-0.05221770311253496,0.0025958190403935237,3325,0.05221770311253496
C1_upper_wick,C5_high_excursion,-0.06613705046448545,0.00013541665301287134,-0.05204354686447727,0.0026831504968682467,3325,0.05204354686447727
H4_2_close_location,C6_low_excursion,-0.012156080263372528,0.48348020104335937,-0.051989702083790404,0.0027106894408948437,3325,0.051989702083790404
H4_2_upper_wick,C5_low_excursion,0.060363781026047385,0.0004965464075046155,0.05180129497345257,0.0028090945918987716,3325,0.05180129497345257
C3_upper_wick,C7_high_excursion,-0.033444378416080375,0.05381642710287918,-0.051777967587992156,0.0028215027434095362,3325,0.051777967587992156
C4_close_above_C3_high,C7_return,-0.03177201076137884,0.0669756956583855,-0.05167892465408672,0.002874744058444705,3325,0.05167892465408672
H4_2_close,C7_low_excursion,-0.0583483066562726,0.0007623067482669323,-0.051630052716120665,0.0029013519160998842,3325,0.051630052716120665
C4_close,C7_low_excursion,-0.0583483066562726,0.0007623067482669323,-0.051630052716120665,0.0029013519160998842,3325,0.051630052716120665
H4_range_ratio,C6_high_excursion,0.007540712031733484,0.6638082545487803,0.05141658860075476,0.003020224408337787,3325,0.05141658860075476
H4_2_open,C7_high_excursion,-0.04713214275816918,0.006562611416612661,-0.05127151067134213,0.003103531162523984,3325,0.05127151067134213
C3_open,C7_high_excursion,-0.04713214275816918,0.006562611416612661,-0.05127151067134213,0.003103531162523984,3325,0.05127151067134213
C2_close,C7_high_excursion,-0.04702592100637341,0.006685282725800927,-0.05106277901482112,0.0032270661007719765,3325,0.05106277901482112
H4_1_close,C7_high_excursion,-0.04702592100637341,0.006685282725800927,-0.05106277901482112,0.0032270661007719765,3325,0.05106277901482112
H4_2_close_location,C7_low_excursion,-0.01681172654418344,0.33248760304568276,-0.05099145359685599,0.0032702950427897317,3325,0.05099145359685599
C4_close_position,C7_low_excursion,-0.014743253543874001,0.395400701212016,-0.05092310449292232,0.003312214198213473,3325,0.05092310449292232
H4_2_low,C7_high_excursion,-0.0446248924145783,0.01006723657214928,-0.05074431163354151,0.003424193249223551,3325,0.05074431163354151
C4_close,C6_return,-0.046673266853111725,0.007107462114844853,-0.05064066134393904,0.003490676717069493,3325,0.05064066134393904
H4_2_close,C6_return,-0.046673266853111725,0.007107462114844853,-0.05064066134393904,0.003490676717069493,3325,0.05064066134393904
C3_low,C7_low_excursion,-0.05926207427128991,0.0006286605079058749,-0.05056217408158083,0.003541798936638047,3325,0.05056217408158083
C1_close,C7_high_excursion,-0.04684082163316931,0.006903978496004745,-0.05053726838524451,0.0035581628569043016,3325,0.05053726838524451
C2_open,C7_high_excursion,-0.04676805189504671,0.00699170083152295,-0.0504494810394836,0.00361639195687462,3325,0.0504494810394836
C1_body_ratio,C5_low_excursion,0.03859714003701648,0.026040175003940076,0.050433450392378044,0.0036271181075352783,3325,0.050433450392378044
last2_bearish,C7_return,0.023955646747460577,0.16727011928368418,0.050422821617107344,0.0036342457859580984,3325,0.050422821617107344
C4_C3_range_ratio,C7_high_excursion,-0.01854244657490374,0.28511496167707495,0.05022250794833265,0.0037709796153442385,3325,0.05022250794833265
C1_open,C7_high_excursion,-0.04662241366397817,0.007170275629292745,-0.05010937808824819,0.003850250967751842,3325,0.05010937808824819
H4_1_open,C7_high_excursion,-0.04662241366397817,0.007170275629292745,-0.05010937808824819,0.003850250967751842,3325,0.05010937808824819
C4_open_location,C5_high_excursion,-0.0006688357389548752,0.9692472110342503,0.05000285584439428,0.003926272441619804,3325,0.05000285584439428
C2_trades,C5_high_excursion,-0.05350164725476607,0.00202796633262794,-0.049996771867887105,0.003930655237538233,3325,0.049996771867887105
C3_low,C7_high_excursion,-0.04527508560269361,0.00902657384292066,-0.049993881199115235,0.003932739183412307,3325,0.049993881199115235
C4_low,C6_return,-0.046901961422418106,0.006831041189184104,-0.049612208081390795,0.004216868623939417,3325,0.049612208081390795
C7_direction,C6_high_excursion,-0.04991236439920589,0.003991920919193199,-0.04951649119540468,0.004290982642960199,3325,0.04951649119540468
H4_1_low,C7_low_excursion,-0.05954144582114211,0.000592370096511693,-0.049470054896188186,0.004327362100325388,3325,0.049470054896188186
C1_range,C6_return,0.0007246016868382001,0.9666845485914831,-0.04940252491697199,0.0043807658267151625,3325,0.04940252491697199
C4_open,C7_low_excursion,-0.05765278070896049,0.000881215307148797,-0.04929667875439341,0.004465672842506529,3325,0.04929667875439341
H4_2_low,C6_return,-0.046954318270666096,0.006769132471602787,-0.049153016973068044,0.004583298921542958,3325,0.049153016973068044
H4_return_change,C7_low_excursion,-0.012204477354884382,0.48174041766563,-0.048930218521427135,0.004771275017076887,3325,0.048930218521427135
C2_low,C7_low_excursion,-0.05858360109750256,0.000725576314955395,-0.04892710090660734,0.004773954134571568,3325,0.04892710090660734
H4_1_body,C6_low_excursion,0.07826237998233761,6.240791980798536e-06,0.04890124225704053,0.004796228233291473,3325,0.04890124225704053
C4_close_position,C6_low_excursion,-0.011794942778375265,0.4965693672979292,-0.048824406545433414,0.004862968639638982,3325,0.048824406545433414
C3_close,C7_low_excursion,-0.05767646875320773,0.0008768976784021984,-0.04881799547071465,0.00486857515818669,3325,0.04881799547071465
H4_2_lower_wick,C6_high_excursion,-0.05219988147771309,0.002604634946726738,-0.04874271746181723,0.004934844795973642,3325,0.04874271746181723
H4_1_upper_wick,C6_high_excursion,-0.058566814848597874,0.0007281412738388723,-0.048614862426379205,0.005049270618849027,3325,0.048614862426379205
C4_high,C7_low_excursion,-0.05618254490800054,0.0011911728221339797,-0.04853447655766734,0.005122435301034282,3325,0.04853447655766734
H4_2_volume,C5_low_excursion,-0.006244357510009944,0.7188954875104892,-0.048420979050253575,0.005227368180512543,3325,0.048420979050253575
all_bullish,C5_high_excursion,-0.02661178211627453,0.12497924748524926,-0.04833567054240464,0.005307512852403463,3325,0.04833567054240464
H4_1_upper_wick,C5_high_excursion,-0.07375337027919496,2.07164126049376e-05,-0.04815275510926905,0.005483106951640174,3325,0.04815275510926905
C2_low,C7_high_excursion,-0.04464389189478791,0.010035373072835465,-0.04815033532240532,0.005485464604836912,3325,0.04815033532240532
C2_volume,C6_high_excursion,-0.013863655149286976,0.4242004416951958,-0.04807406792133317,0.005560243954333891,3325,0.04807406792133317
C4_body,C6_high_excursion,-0.055002786016495185,0.0015096364930817338,-0.04786844832321238,0.005766454294386978,3325,0.04786844832321238
C4_high,C6_return,-0.04515819470893768,0.009206267854028052,-0.04784629996012055,0.005789072546420799,3325,0.04784629996012055
C4_break_C3_low,C7_return,0.02640212692839039,0.12798057228985013,0.047828415061797795,0.0058073951981443715,3325,0.047828415061797795
all_bearish,C7_low_excursion,0.032553581736445875,0.06052868757714333,0.04781619088631756,0.00581994862426614,3325,0.04781619088631756
C1_low,C7_low_excursion,-0.058403483043371444,0.0007535418023254739,-0.04771493831674362,0.005924872143419238,3325,0.04771493831674362
H4_2_trades,C6_high_excursion,-0.03992300906451312,0.021328114207003732,-0.047600623500746,0.006045376951259489,3325,0.047600623500746
C4_close_above_C3_high,C6_return,-0.02144184466459398,0.2164309534796358,-0.04759600307517057,0.006050293643338247,3325,0.04759600307517057
window_low,C6_return,-0.046748731229251037,0.007015158951064251,-0.047587233075382984,0.006059635888883502,3325,0.047587233075382984
H4_2_open,C7_low_excursion,-0.05738824378101736,0.0009307894151443627,-0.047550781986024304,0.0060986047632904765,3325,0.047550781986024304
C3_open,C7_low_excursion,-0.05738824378101736,0.0009307894151443627,-0.047550781986024304,0.0060986047632904765,3325,0.047550781986024304
C4_close_position,C5_low_excursion,0.0018887257336636393,0.9133068823386963,-0.04754425144785433,0.00610561016872882,3325,0.04754425144785433
H4_range_ratio,C5_low_excursion,0.03286027342105237,0.058143430766881395,-0.047524847733121864,0.006126467582646897,3325,0.047524847733121864
C2_close_location,C5_return,-0.031456608360589125,0.0697326600019121,-0.047500243101003294,0.006153007782364053,3325,0.047500243101003294
direction_sum,C5_high_excursion,0.0012154878198247683,0.9441442171536965,-0.04747248629313302,0.0061830723208208165,3325,0.04747248629313302
H4_2_return,C7_low_excursion,-0.010458920995494975,0.5465881703805907,-0.047398049001339516,0.006264352201664548,3325,0.047398049001339516
C1_low,C7_high_excursion,-0.04450388434366015,0.010272297490608302,-0.047279328313987366,0.006395977037067747,3325,0.047279328313987366
H4_1_close,C7_low_excursion,-0.05728546141233693,0.0009507380858709883,-0.04727099875929287,0.006405304678370153,3325,0.04727099875929287
C2_close,C7_low_excursion,-0.05728546141233693,0.0009507380858709883,-0.04727099875929287,0.006405304678370153,3325,0.04727099875929287
H4_2_upper_wick,C6_low_excursion,0.05577503039044943,0.0012933987647112384,0.04722035954124171,0.006462275470981693,3325,0.04722035954124171
C4_range,C6_low_excursion,0.07164491297235792,3.549419769170429e-05,0.04717126017919409,0.006517948525739275,3325,0.04717126017919409
H4_1_open,C7_low_excursion,-0.05752738416749592,0.0009044013745025782,-0.047054787110437604,0.006651744140424389,3325,0.047054787110437604
C1_open,C7_low_excursion,-0.05752738416749592,0.0009044013745025782,-0.047054787110437604,0.006651744140424389,3325,0.047054787110437604
C4_C3_range_ratio,C6_high_excursion,-0.006389903763403967,0.7126308815674377,0.04700545077125926,0.006709158427501275,3325,0.04700545077125926
H4_2_upper_wick_ratio,C5_return,0.02823397377139072,0.10357521805160434,0.04698441957551677,0.006733768177704775,3325,0.04698441957551677
C3_C4_return,C7_low_excursion,-0.011616337142349414,0.5031119170208986,-0.04697371292767167,0.006746327737943549,3325,0.04697371292767167
C1_close,C7_low_excursion,-0.057268562359630036,0.0009540556082865302,-0.04695782076648521,0.006765009030784037,3325,0.04695782076648521
C2_open,C7_low_excursion,-0.05720982725731376,0.0009656696783606289,-0.046930354998657574,0.006797404726067654,3325,0.046930354998657574
H4_range_ratio,C6_return,0.0649883501976942,0.00017685818983734992,0.04683127543739578,0.006915429626290428,3325,0.04683127543739578
window_high,C6_high_excursion,-0.04054282771509235,0.019392661482465615,-0.04667711377115638,0.007102730578229321,3325,0.04667711377115638
C6_direction,C5_low_excursion,-0.025460055691625946,0.14216281577208856,-0.04667143810701534,0.007109712382257429,3325,0.04667143810701534
range_trend,C6_high_excursion,0.02493481319037629,0.15057758270441762,0.04667025566504195,0.007111167714410979,3325,0.04667025566504195
H4_2_upper_wick,C5_return,0.04605924719553503,0.007899935104439442,0.04662022603415982,0.007172988914408456,3325,0.04662022603415982
C4_open,C6_return,-0.045195825832573845,0.009148073014689307,-0.04659725787884532,0.007201531636886432,3325,0.04659725787884532
