pattern,target,n,baseline,conditional,edge,abs_edge
last2_bearish,C7_direction,813,0.48330827067669174,0.5141451414514145,0.030836870774722802,0.030836870774722802
C4_break_C3_low,C5_direction,1524,0.4830075187969925,0.5098425196850394,0.026835000888046856,0.026835000888046856
C4_inside_C3,future_break_down,652,0.4087218045112782,0.38190184049079756,-0.026819964020480647,0.026819964020480647
H4_bullish_engulf,C7_direction,185,0.48330827067669174,0.5081081081081081,0.024799837431416394,0.024799837431416394
close_near_low,C6_direction,680,0.48330827067669174,0.5073529411764706,0.02404467049977882,0.02404467049977882
H4_inside,future_break_up,693,0.4,0.37662337662337664,-0.023376623376623384,0.023376623376623384
high_contraction,C6_direction,882,0.48330827067669174,0.4603174603174603,-0.02299081035923145,0.02299081035923145
C4_break_C3_low,C7_direction,1524,0.48330827067669174,0.5032808398950132,0.019972569218321412,0.019972569218321412
high_contraction,C5_direction,882,0.4830075187969925,0.4671201814058957,-0.015887337391096823,0.015887337391096823
strong_expansion,future_break_down,707,0.4087218045112782,0.4243281471004243,0.015606342589146116,0.015606342589146116
C4_break_C3_high,C5_direction,1541,0.4830075187969925,0.46852693056456846,-0.014480588232424041,0.014480588232424041
all_bullish,C7_direction,132,0.48330827067669174,0.4696969696969697,-0.013611300979722019,0.013611300979722019
H4_inside,C5_direction,693,0.4830075187969925,0.4704184704184704,-0.012589048378522094,0.012589048378522094
close_near_high,C7_direction,709,0.48330827067669174,0.4710860366713681,-0.012222234005323629,0.012222234005323629
all_bearish,C6_direction,160,0.48330827067669174,0.49375,0.01044172932330828,0.01044172932330828
strong_expansion,C7_direction,707,0.48330827067669174,0.49363507779349364,0.010326807116801895,0.010326807116801895
H4_bearish_engulf,C5_direction,215,0.4830075187969925,0.4930232558139535,0.010015737016961013,0.010015737016961013
C4_inside_C3,C5_direction,652,0.4830075187969925,0.47392638036809814,-0.009081138428894353,0.009081138428894353
H4_bullish_engulf,C5_direction,185,0.4830075187969925,0.4918918918918919,0.008884373094899423,0.008884373094899423
close_near_low,C7_direction,680,0.48330827067669174,0.49117647058823527,0.007868199911543527,0.007868199911543527
C4_inside_C3,C6_direction,652,0.48330827067669174,0.4754601226993865,-0.007848147977305264,0.007848147977305264
C4_inside_C3,C7_direction,652,0.48330827067669174,0.4754601226993865,-0.007848147977305264,0.007848147977305264
H4_inside,C7_direction,693,0.48330827067669174,0.4906204906204906,0.007312219943798881,0.007312219943798881
C4_break_C3_high,C7_direction,1541,0.48330827067669174,0.47696301103179756,-0.006345259644894186,0.006345259644894186
H4_inside,C6_direction,693,0.48330827067669174,0.47763347763347763,-0.00567479304321411,0.00567479304321411
last2_bullish,C7_direction,723,0.48330827067669174,0.4785615491009682,-0.004746721575723534,0.004746721575723534
negative_directional_imbalance,C6_direction,166,0.48330827067669174,0.4879518072289157,0.004643536552223937,0.004643536552223937
high_contraction,C7_direction,882,0.48330827067669174,0.48639455782312924,0.003086287146437494,0.003086287146437494
H4_bullish_engulf,C6_direction,185,0.48330827067669174,0.4810810810810811,-0.0022271895956106347,0.0022271895956106347
strong_expansion,C6_direction,707,0.48330827067669174,0.48514851485148514,0.0018402441747933929,0.0018402441747933929
positive_directional_imbalance,C7_direction,147,0.48330827067669174,0.48299319727891155,-0.0003150733977801967,0.0003150733977801967
