zone,direction,reference,level_pips,n,hit_probability,median_projection_pips,p75_projection_pips,p90_projection_pips
40-50%,down,C5C6_low,50,289,0.3391003460207612,0.0,8725.0,34289.19999999984
40-50%,down,C5C6_low,100,289,0.3391003460207612,0.0,8725.0,34289.19999999984
40-50%,down,C5C6_low,250,289,0.3356401384083045,0.0,8725.0,34289.19999999984
40-50%,down,C5C6_low,500,289,0.33217993079584773,0.0,8725.0,34289.19999999984
40-50%,down,C5C6_low,750,289,0.328719723183391,0.0,8725.0,34289.19999999984
40-50%,down,C5C6_low,800,289,0.328719723183391,0.0,8725.0,34289.19999999984
40-50%,down,C5C6_low,1000,289,0.328719723183391,0.0,8725.0,34289.19999999984
40-50%,down,C5C6_low,1500,289,0.3217993079584775,0.0,8725.0,34289.19999999984
40-50%,down,C5C6_low,2000,289,0.3217993079584775,0.0,8725.0,34289.19999999984
50-60%,up,C5C6_high,50,311,0.36977491961414793,0.0,14318.00000000003,43040.000000000146
50-60%,up,C5C6_high,100,311,0.36977491961414793,0.0,14318.00000000003,43040.000000000146
50-60%,up,C5C6_high,250,311,0.3665594855305466,0.0,14318.00000000003,43040.000000000146
50-60%,up,C5C6_high,500,311,0.3665594855305466,0.0,14318.00000000003,43040.000000000146
50-60%,up,C5C6_high,750,311,0.36012861736334406,0.0,14318.00000000003,43040.000000000146
50-60%,up,C5C6_high,800,311,0.35691318327974275,0.0,14318.00000000003,43040.000000000146
50-60%,up,C5C6_high,1000,311,0.3536977491961415,0.0,14318.00000000003,43040.000000000146
50-60%,up,C5C6_high,1500,311,0.34726688102893893,0.0,14318.00000000003,43040.000000000146
50-60%,up,C5C6_high,2000,311,0.34726688102893893,0.0,14318.00000000003,43040.000000000146
50-60%,down,C5C6_low,50,311,0.3054662379421222,0.0,6807.500000000437,39520.99999999991
50-60%,down,C5C6_low,100,311,0.3054662379421222,0.0,6807.500000000437,39520.99999999991
50-60%,down,C5C6_low,250,311,0.3022508038585209,0.0,6807.500000000437,39520.99999999991
50-60%,down,C5C6_low,500,311,0.3022508038585209,0.0,6807.500000000437,39520.99999999991
50-60%,down,C5C6_low,750,311,0.3022508038585209,0.0,6807.500000000437,39520.99999999991
50-60%,down,C5C6_low,800,311,0.2990353697749196,0.0,6807.500000000437,39520.99999999991
50-60%,down,C5C6_low,1000,311,0.2958199356913183,0.0,6807.500000000437,39520.99999999991
50-60%,down,C5C6_low,1500,311,0.2958199356913183,0.0,6807.500000000437,39520.99999999991
50-60%,down,C5C6_low,2000,311,0.2829581993569132,0.0,6807.500000000437,39520.99999999991
60-75%,up,C5C6_high,50,518,0.3204633204633205,0.0,7553.9999999997235,35534.89999999978
60-75%,up,C5C6_high,100,518,0.3204633204633205,0.0,7553.9999999997235,35534.89999999978
60-75%,up,C5C6_high,250,518,0.3185328185328185,0.0,7553.9999999997235,35534.89999999978
60-75%,up,C5C6_high,500,518,0.3166023166023166,0.0,7553.9999999997235,35534.89999999978
60-75%,up,C5C6_high,750,518,0.3108108108108108,0.0,7553.9999999997235,35534.89999999978
60-75%,up,C5C6_high,800,518,0.3108108108108108,0.0,7553.9999999997235,35534.89999999978
60-75%,up,C5C6_high,1000,518,0.30694980694980695,0.0,7553.9999999997235,35534.89999999978
60-75%,up,C5C6_high,1500,518,0.305019305019305,0.0,7553.9999999997235,35534.89999999978
60-75%,up,C5C6_high,2000,518,0.305019305019305,0.0,7553.9999999997235,35534.89999999978
60-75%,down,C5C6_low,50,518,0.34942084942084944,0.0,8690.249999999833,38639.899999999034
60-75%,down,C5C6_low,100,518,0.34942084942084944,0.0,8690.249999999833,38639.899999999034
60-75%,down,C5C6_low,250,518,0.3474903474903475,0.0,8690.249999999833,38639.899999999034
60-75%,down,C5C6_low,500,518,0.33976833976833976,0.0,8690.249999999833,38639.899999999034
60-75%,down,C5C6_low,750,518,0.33204633204633205,0.0,8690.249999999833,38639.899999999034
60-75%,down,C5C6_low,800,518,0.3301158301158301,0.0,8690.249999999833,38639.899999999034
60-75%,down,C5C6_low,1000,518,0.3301158301158301,0.0,8690.249999999833,38639.899999999034
